Cavité :	Puits du 8 ao�t
Système de coordonnées : UTM - fuseau 31
E	De	A	AZ	Pente	dH	L	Lh	Deb Tpf	Fin Tpf	L Ga	L Dr	H Sup	H Inf	Pente Calc	dH Calc	L Calc	Lh Calc	X	Y	Z	SLh	Suites	Commentaires
Coordonnées de l'entrée : 		8a1																724130.5	5021903.9	1912.0			

Galerie :	Galerie d'entr�e
Date du lever : 	02/09/2012	Déclinaison = 	1.01 °
Operateurs :	?ric Sanson notes	Serge Caillault length compass clino
mesures des longueurs :	DistoX
mesures des Azimuts :	DistoX	 en degrés
mesures des Pentes :	DistoX	 en degrés
	8a19	    -- -->  	 181.7 °	   5.1 °		0.30								   5.1 °	0.03	0.30	0.30	724131.2	5021883.6	1862.7	45.6		

	8a19	    -- -->  	 353.8 °	  -0.6 °		0.20								  -0.6 °	-0.00	0.20	0.20	724131.1	5021884.1	1862.7	45.5		

	8a19	    -- -->  	 257.1 °	  77.2 °		0.56								  77.2 °	0.55	0.56	0.13	724131.0	5021883.9	1863.2	45.4		

	8a19	    -- -->  	 122.5 °	 -80.8 °		0.81								 -80.8 °	-0.80	0.81	0.13	724131.3	5021883.8	1861.9	45.4		

	8a19	   8a20	 257.1 °	 -21.0 °		2.02				0.6	0.3	1.5	0.7	 -21.0 °	-0.72	2.02	1.89	724129.3	5021883.4	1861.9	47.1		

	8a20	    -- -->  	 172.8 °	   1.0 °		0.59								   1.0 °	0.01	0.59	0.59	724129.4	5021882.9	1862.0	47.7		

	8a20	    -- -->  	 345.0 °	  -5.8 °		0.28								  -5.8 °	-0.03	0.28	0.27	724129.3	5021883.7	1861.9	47.4		

	8a20	    -- -->  	 289.7 °	  84.0 °		1.48								  84.0 °	1.47	1.48	0.15	724129.2	5021883.5	1863.4	47.3		

	8a20	    -- -->  	 168.2 °	 -84.9 °		0.71								 -84.9 °	-0.71	0.71	0.06	724129.3	5021883.4	1861.2	47.2		

	8a20	   8a21	 289.1 °	 -12.6 °		2.37				0.2	0.2	1.2	0.8	 -12.6 °	-0.52	2.37	2.31	724127.1	5021884.2	1861.4	49.5		

	8a21	    -- -->  	 193.4 °	   4.3 °		0.24								   4.3 °	0.02	0.24	0.24	724127.1	5021883.9	1861.4	49.7		

	8a21	    -- -->  	 354.0 °	  -5.2 °		0.22								  -5.2 °	-0.02	0.22	0.22	724127.1	5021884.4	1861.4	49.7		

	8a21	    -- -->  	 274.2 °	  80.6 °		1.18								  80.6 °	1.16	1.18	0.19	724126.9	5021884.2	1862.6	49.6		

	8a21	    -- -->  	 224.8 °	 -78.2 °		0.84								 -78.2 °	-0.83	0.84	0.17	724127.0	5021884.0	1860.6	49.6		

	8a21	   8a22	 256.2 °	 -17.9 °		1.67				0.2	0.4	1.1	1.4	 -17.9 °	-0.51	1.67	1.59	724125.6	5021883.8	1860.9	51.0		

	8a22	    -- -->  	 184.8 °	  -3.4 °		0.20								  -3.4 °	-0.01	0.20	0.20	724125.6	5021883.6	1860.9	51.2		

	8a22	    -- -->  	   2.2 °	   0.4 °		0.42								   0.4 °	0.00	0.42	0.42	724125.6	5021884.2	1860.9	51.5		

